CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
acetylcarnitine	5.7634776	6.4140428	5.7109138	6.2131453	6.0643813	6.2218206	5.9836236	5.7621093	6.1121228	5.9904641	6.1701627	5.6391432	5.7034089	5.4373189	5.3837258	6.0369748	5.4230518	5.6782083	6.0931529	5.583226	5.6485645	5.8078255	5.7070149	6.1644864	6.0970299	6.0837207	6.3475804	5.6531752	6.0027546
propionylcarnitine	6.5047919	6.0069539	6.17058	6.9510484	5.8839763	5.9117019	5.679024	6.5454891	6.6574353	5.6845923	6.089679	5.7781942	5.8500919	5.5663366	5.5512115	6.4300108	5.5899389	6.312589	5.7379006	5.7684017	5.8164869	5.6174674	5.6791669	6.8428596	6.268112	6.2938882	6.6428714	5.6282172	6.4246493
malonylcarnitine	5.8999096	7.0673738	5.7288513	6.448758	6.1241648	5.930773	5.7518355	5.7840373	5.9796032	5.7345967	6.655988	5.7367478	5.8346911	5.7842201	5.4252189	6.1183781	5.6333772	5.8952933	6.1761126	6.4887334	5.7131779	5.74107	5.7151027	6.3231864	6.0632773	5.8943089	6.3214116	5.8445948	5.7373265
butyrylcarnitine/isobutyrylcarnitine	5.8426398	6.8317841	5.5183027	6.2066628	6.3491572	5.769968	6.2656807	5.5976008	5.7227664	5.6874499	6.6641958	5.9462579	5.2678419	6.210794	5.3520441	6.0213563	5.407435	5.929487	6.0651123	6.0201328	5.5259062	6.4174	5.2871215	6.3953758	6.2236529	6.2870379	7.3164958	5.2668589	5.3850273
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine	6.6108367	5.5093139	5.671029	6.1733567	6.7219977	5.6976504	6.7932719	6.2306887	6.0277144	5.9920548	6.12012	5.5026124	5.9840578	6.3145381	5.8666162	5.8912164	5.1813859	5.9805811	6.5429847	6.7882851	5.873651	6.7111372	5.474199	6.8693889	5.8839763	6.2613758	5.9360482	6.5770463	5.8545556
hexanoylcarnitine	5.7835144	7.5649113	5.6832292	6.4993379	6.9261656	5.9075921	6.0985865	5.7076511	5.6678786	5.8387281	6.6885987	6.060952	6.0204404	6.1373337	5.6312982	5.8601654	5.6094977	6.23371	5.6672452	6.3565011	6.0688158	6.3604407	5.6732192	6.4760115	5.7767017	5.9999925	6.4340559	5.6627896	5.7012854
heptanoylcarnitine	5.8752093	7.1480145	5.8381518	5.9360309	6.0678685	6.1313265	6.0126269	5.5688827	5.7693235	5.7962433	5.9352153	6.044479	6.1461594	5.8545396	5.8289504	5.6413677	5.7875283	6.172265	5.3354668	5.9939606	6.1367994	6.1624704	5.8694582	5.9268938	5.8982101	5.3884285	6.0369415	5.6201286	5.8840289
lauroylcarnitine	6.1033868	8.0243472	5.9195219	6.2860898	7.9305012	6.0244311	7.0224572	6.0051727	6.1372359	5.2522929	6.7780053	6.8972169	6.6743255	6.5877209	6.3388228	6.2202321	5.229127	6.4322078	5.8412278	7.4551734	5.8235115	7.1723645	5.4989284	6.6376862	6.1168499	6.1286608	6.2420906	5.9216022	5.6476906
myristoylcarnitine	5.9468844	7.8746314	5.9186864	6.7033618	7.8105881	5.9718407	7.5465528	5.9836322	5.9047654	5.0848482	6.5398441	6.7524924	7.1575601	6.5577542	6.0629263	6.3823358	5.3178625	6.4696259	5.8690196	7.7976874	5.9970958	7.044028	5.6454349	6.6914187	6.3069544	6.3059297	6.2707081	6.117667	5.6199252
palmitoylcarnitine	5.8890424	8.1373235	5.8918339	6.4674718	7.583401	5.7293963	7.4695527	6.1540542	5.7506174	5.0074342	5.9379227	6.7745796	7.0479247	6.7095302	5.599071	6.2981261	5.5283999	6.4975051	5.6909605	7.7979854	6.2196354	7.0123363	5.7167681	6.5005975	6.2855181	6.4572732	5.8151156	6.2555751	5.7693328
stearoylcarnitine	5.9473784	7.9108938	5.1582935	6.1161496	7.193194	5.8883758	7.2253493	5.7535798	5.7077307	5.2258792	5.6934157	7.1107073	6.9931014	6.6903099	5.7182961	6.4326386	5.6447255	6.6562116	5.7806269	7.4395527	6.3963504	6.8112014	5.7179388	6.1166694	6.4425828	6.199761	5.6430316	6.2655941	6.1986595
oleylcarnitine	5.9289517	7.852177	5.7204176	6.3704283	7.2635143	6.1885462	7.2587488	5.8978013	5.5972784	5.1407906	6.221932	6.9375872	7.0744103	6.437597	6.0938506	6.2141363	5.2858289	6.9284213	6.0501456	7.6040759	6.4931816	6.6936815	5.6690713	6.206625	6.2715608	6.1231055	6.4590308	6.0998297	5.7359893
arachidonyl_carnitine	6.0124041	6.1483101	5.6825324	5.6526177	6.1685957	5.9374237	5.706425	5.3565899	5.6067272	5.8729879	6.05433	5.3407457	5.2188518	6.3225195	6.0680246	6.5205408	5.6749989	6.1176344	5.8000547	5.9992883	5.8255904	6.0765561	5.697907	6.1042178	6.0714876	5.9858111	6.3756661	5.8429525	5.9389835
sarcosine	5.893954	6.0804487	6.2908198	6.175106	6.1231627	5.7652279	6.2245414	5.6618737	6.1933067	5.6902806	6.5160345	6.1660669	6.0129671	5.7468237	5.6920015	5.8073791	6.2456318	6.2569278	5.8550054	5.7575962	5.8308465	6.6448341	6.0339455	6.1215095	5.7940236	6.2505058	5.8924825	5.6230673	5.491237
beta-alanine	5.7283225	5.7552141	5.7348423	5.5576732	5.5871257	5.524897	5.353586	5.7106904	6.2597307	6.0479771	5.2805013	6.2263965	5.7848435	5.3620068	5.8350011	5.6232142	5.9612175	5.4726837	6.0561076	5.5166654	5.5366268	5.3563504	5.308772	5.6976699	6.2656914	4.9313893	5.4807452	5.5628103	5.7259591
anserine	5.9455147	5.2265782	6.2876738	5.6127264	6.2863433	5.9443558	6.0711699	5.761011	5.9906171	6.1039651	5.8338557	6.1464344	6.1578678	5.3980701	5.8529373	5.8135122	5.9819483	5.8298799	5.5817011	5.8800497	6.2846225	5.6890432	5.7711968	5.8529334	6.00864	5.5331702	5.7797754	5.8936558	5.8535874
C14:0 LPC	5.6610504	6.2420602	5.7309039	6.1514031	6.2223926	6.0454367	6.0786772	6.0269272	5.9248148	5.657341	5.6557988	5.8805909	5.9887052	5.9654273	6.4139118	6.4275601	5.788117	6.1181185	6.1522389	6.0709012	5.9156082	6.3509322	5.8930083	6.1623482	5.6615954	6.0400369	5.964474	5.9651216	6.0402186
C16:1 LPC	6.0553821	6.1937575	5.8391008	6.327367	6.1034662	6.1913082	5.7885126	6.1735081	5.9097882	5.7475814	6.1434131	5.6445411	5.9976915	5.9374358	6.3860417	6.1601204	5.5699759	6.1042592	5.9198856	5.9180946	5.8374272	5.9540856	6.1318248	6.113737	5.6969801	5.8793835	6.1172566	5.7759094	6.0233602
C16:0 LPC	6.0214834	6.3422334	5.709894	5.6908655	6.3262713	6.2199084	6.1842838	5.908176	5.9128772	5.8312702	5.7608902	5.8190781	6.0585552	6.1387164	6.4835658	6.2994626	5.6258281	5.7422861	6.1543808	5.7711066	5.8512721	6.0838204	6.1792562	6.4511905	5.5145775	6.2676536	5.7661419	6.2508551	6.2454508
C18:2 LPC	6.2295178	5.8875971	5.9863263	5.9046155	6.1933007	6.2431573	5.8670213	5.8777263	5.9040634	5.7834706	5.9925632	5.8053701	6.0700385	5.9864701	6.4184112	5.8474397	5.9418661	6.1867296	6.0019549	5.5374491	6.0748054	5.9330693	6.3000535	6.1612701	5.6582367	5.7917985	5.9887767	6.0119609	6.1476403
