sample,sampleID,condition,batch,cl
SRR14766496,SRX11099922,DMSO,1,1
SRR14766497,SRX11099923,DMSO,2,1
SRR14766498,SRX11099924,DMSO,3,1
SRR14766499,SRX11099925,MKC,1,0
SRR14766500,SRX11099926,MKC,2,0
SRR14766501,SRX11099927,MKC,3,0


